route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.6694,
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0.666,
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0,
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.7045,
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0.6479,
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0.6989,
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.7058,
1,001,1 - FREEPORT ROAD,Ross,Bus,2020-06-01,202006,SAT.,0.4672,
1,001,1 - FREEPORT ROAD,Ross,Bus,2020-06-01,202006,SUN.,0.5097,
1,001,1 - FREEPORT ROAD,Ross,Bus,2020-06-01,202006,WEEKDAY,0.5713,
2,002,2 - MOUNT ROYAL,Ross,Bus,2020-06-01,202006,SAT.,0.8584,
2,002,2 - MOUNT ROYAL,Ross,Bus,2020-06-01,202006,SUN.,0.7195,
2,002,2 - MOUNT ROYAL,Ross,Bus,2020-06-01,202006,WEEKDAY,0.5516,
4,004,4 - TROY HILL,Ross,Bus,2020-06-01,202006,SAT.,0.6774,
4,4,NA,NA,NA,2020-06-01,202006,SUN.,0,
4,004,4 - TROY HILL,Ross,Bus,2020-06-01,202006,WEEKDAY,0.7172,
6,006,6 - SPRING HILL,Ross,Bus,2020-06-01,202006,SAT.,0.75,
6,006,6 - SPRING HILL,Ross,Bus,2020-06-01,202006,SUN.,0.6968,
6,006,6 - SPRING HILL,Ross,Bus,2020-06-01,202006,WEEKDAY,0.8058,
7,7,NA,NA,NA,2020-06-01,202006,SAT.,0,
7,7,NA,NA,NA,2020-06-01,202006,SUN.,0,
7,007,7 - SPRING GARDEN,Ross,Bus,2020-06-01,202006,WEEKDAY,0.6805,
8,008,8 - PERRYSVILLE,Ross,Bus,2020-06-01,202006,SAT.,0.6119,
8,008,8 - PERRYSVILLE,Ross,Bus,2020-06-01,202006,SUN.,0.6973,
8,008,8 - PERRYSVILLE,Ross,Bus,2020-06-01,202006,WEEKDAY,0.7858,
11,011,11 - FINEVIEW,Ross,Bus,2020-06-01,202006,SAT.,0.5979,
11,011,11 - FINEVIEW,Ross,Bus,2020-06-01,202006,SUN.,0.8953,
11,011,11 - FINEVIEW,Ross,Bus,2020-06-01,202006,WEEKDAY,0.7306,
12,012,12 - MCKNIGHT,Ross,Bus,2020-06-01,202006,SAT.,0.5301,
12,012,12 - MCKNIGHT,Ross,Bus,2020-06-01,202006,SUN.,0.6319,
12,012,12 - MCKNIGHT,Ross,Bus,2020-06-01,202006,WEEKDAY,0.6412,
13,013,13 - BELLEVUE,Ross,Bus,2020-06-01,202006,SAT.,0.6634,
13,013,13 - BELLEVUE,Ross,Bus,2020-06-01,202006,SUN.,0.7055,
13,013,13 - BELLEVUE,Ross,Bus,2020-06-01,202006,WEEKDAY,0.6849,
14,014,14 - OHIO VALLEY,Ross,Bus,2020-06-01,202006,SAT.,0.7153,
14,014,14 - OHIO VALLEY,Ross,Bus,2020-06-01,202006,SUN.,0.8048,
14,014,14 - OHIO VALLEY,Ross,Bus,2020-06-01,202006,WEEKDAY,0.7418,
15,015,15 - CHARLES,Ross,Bus,2020-06-01,202006,SAT.,0.6748,
15,015,15 - CHARLES,Ross,Bus,2020-06-01,202006,SUN.,0.6307,
15,015,15 - CHARLES,Ross,Bus,2020-06-01,202006,WEEKDAY,0.7649,
16,016,16 - BRIGHTON,Ross,Bus,2020-06-01,202006,SAT.,0.7322,
16,016,16 - BRIGHTON,Ross,Bus,2020-06-01,202006,SUN.,0.6799,
16,016,16 - BRIGHTON,Ross,Bus,2020-06-01,202006,WEEKDAY,0.7593,
17,017,17 - SHADELAND,Ross,Bus,2020-06-01,202006,SAT.,0.6463,
17,017,17 - SHADELAND,Ross,Bus,2020-06-01,202006,SUN.,0.6194,
17,017,17 - SHADELAND,Ross,Bus,2020-06-01,202006,WEEKDAY,0.659,
18,18,NA,NA,NA,2020-06-01,202006,SAT.,0,
18,18,NA,NA,NA,2020-06-01,202006,SUN.,0,
18,018,18 - MANCHESTER,Ross,Bus,2020-06-01,202006,WEEKDAY,0.915,
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2020-06-01,202006,SAT.,0,
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2020-06-01,202006,SUN.,0,
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2020-06-01,202006,WEEKDAY,0.4888,
20,20,NA,NA,NA,2020-06-01,202006,SAT.,0,
20,20,NA,NA,NA,2020-06-01,202006,SUN.,0,
20,020,20 - KENNEDY,Collier,Bus,2020-06-01,202006,WEEKDAY,0.7317,
21,021,21 - CORAOPOLIS,Collier,Bus,2020-06-01,202006,SAT.,0.6683,
21,021,21 - CORAOPOLIS,Collier,Bus,2020-06-01,202006,SUN.,0.6933,
21,021,21 - CORAOPOLIS,Collier,Bus,2020-06-01,202006,WEEKDAY,0.6895,
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2020-06-01,202006,SAT.,0.6218,
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2020-06-01,202006,SUN.,0.6169,
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2020-06-01,202006,WEEKDAY,0.6752,
48,048,48 - ARLINGTON,Collier,Bus,2020-06-01,202006,SAT.,0.6849,
48,048,48 - ARLINGTON,Collier,Bus,2020-06-01,202006,SUN.,0.7931,
48,048,48 - ARLINGTON,Collier,Bus,2020-06-01,202006,WEEKDAY,0.7402,
51,051,51 - CARRICK,West Mifflin,Bus,2020-06-01,202006,SAT.,0.6558,
51,051,51 - CARRICK,West Mifflin,Bus,2020-06-01,202006,SUN.,0.6076,
51,051,51 - CARRICK,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.7363,
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2020-06-01,202006,SAT.,0,
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2020-06-01,202006,SUN.,0,
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.794,
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2020-06-01,202006,SAT.,0,
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2020-06-01,202006,SUN.,0,
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.5755,
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2020-06-01,202006,SAT.,0.7441,
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2020-06-01,202006,SUN.,0.814,
53,53,NA,NA,NA,2020-06-01,202006,WEEKDAY,0,
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2020-06-01,202006,SAT.,0,
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2020-06-01,202006,SUN.,0,
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.6713,
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2020-06-01,202006,SAT.,0.5975,
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2020-06-01,202006,SUN.,0.579,
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2020-06-01,202006,WEEKDAY,0.6308,
55,055,55 - GLASSPORT,West Mifflin,Bus,2020-06-01,202006,SAT.,0.7538,
55,055,55 - GLASSPORT,West Mifflin,Bus,2020-06-01,202006,SUN.,0.762,
55,055,55 - GLASSPORT,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.7491,
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2020-06-01,202006,SAT.,0.5917,
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2020-06-01,202006,SUN.,0.6801,
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.6136,
57,057,57 - HAZELWOOD,West Mifflin,Bus,2020-06-01,202006,SAT.,0.467,
57,057,57 - HAZELWOOD,West Mifflin,Bus,2020-06-01,202006,SUN.,0.6219,
57,057,57 - HAZELWOOD,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.5949,
58,058,58 - GREENFIELD,East Liberty,Bus,2020-06-01,202006,SAT.,0.626,
58,058,58 - GREENFIELD,East Liberty,Bus,2020-06-01,202006,SUN.,0.7965,
58,058,58 - GREENFIELD,East Liberty,Bus,2020-06-01,202006,WEEKDAY,0.657,
59,059,59 - MON VALLEY,West Mifflin,Bus,2020-06-01,202006,SAT.,0.6697,
59,059,59 - MON VALLEY,West Mifflin,Bus,2020-06-01,202006,SUN.,0.5916,
59,059,59 - MON VALLEY,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.6806,
60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2020-06-01,202006,SAT.,0.5887,
60,60,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2020-06-01,202006,SUN.,0,
60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.7843,
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2020-06-01,202006,SAT.,0.726,
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2020-06-01,202006,SUN.,0.7673,
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.7402,
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2020-06-01,202006,SAT.,0.7379,
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2020-06-01,202006,SUN.,0.7189,
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.7062,
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2020-06-01,202006,SAT.,0.7443,
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2020-06-01,202006,SUN.,0.6456,
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.672,
61D,061D,61D - MURRAY,West Mifflin,Bus,2020-06-01,202006,SAT.,0.7591,
61D,061D,61D - MURRAY,West Mifflin,Bus,2020-06-01,202006,SUN.,0.7729,
61D,061D,61D - MURRAY,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.6914,
64,064,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2020-06-01,202006,SAT.,0.6052,
64,064,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2020-06-01,202006,SUN.,0.703,
64,064,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2020-06-01,202006,WEEKDAY,0.7359,
65,65,NA,NA,NA,2020-06-01,202006,SAT.,0,
